alignment,scenario,wmd_id,year,wmd_total
current,rcp85_wet,Madison,2050,167190.9343
current,rcp85_wet,Madison,2060,155515.55256
current,rcp85_wet,Madison,2070,143840.17081999997
current,rcp85_wet,Madison,2080,132164.78908000002
current,rcp85_wet,Madison,2090,120489.40734
current,rcp85_wet,Madison,2100,108814.02559999998
current,rcp85_wet,Morris,2020,47375.36669
current,rcp85_wet,Morris,2030,48854.84453333335
current,rcp85_wet,Morris,2040,50334.32237666667
current,rcp85_wet,Morris,2050,51813.80022000001
current,rcp85_wet,Morris,2060,50085.809869999975
current,rcp85_wet,Morris,2070,48357.81951999998
current,rcp85_wet,Morris,2080,46629.82917000002
current,rcp85_wet,Morris,2090,44901.83882
current,rcp85_wet,Morris,2100,43173.848469999975
current,rcp85_wet,Roseau,2020,26697.59802
current,rcp85_wet,Roseau,2030,27000.438386666676
current,rcp85_wet,Roseau,2040,27303.278753333325
current,rcp85_wet,Roseau,2050,27606.11912000001
current,rcp85_wet,Roseau,2060,27097.912506000008
current,rcp85_wet,Roseau,2070,26589.705892000005
current,rcp85_wet,Roseau,2080,26081.499278
current,rcp85_wet,Roseau,2090,25573.292664000004
current,rcp85_wet,Roseau,2100,25065.086049999994
current,rcp85_wet,Sand Lake,2020,625525.6247999999
current,rcp85_wet,Sand Lake,2030,662268.2950333332
current,rcp85_wet,Sand Lake,2040,699010.965266667
current,rcp85_wet,Sand Lake,2050,735753.6354999999
current,rcp85_wet,Sand Lake,2060,686365.1726399994
current,rcp85_wet,Sand Lake,2070,636976.7097799999
current,rcp85_wet,Sand Lake,2080,587588.2469199997
current,rcp85_wet,Sand Lake,2090,538199.7840599996
current,rcp85_wet,Sand Lake,2100,488811.3212000001
