eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
2,Arrowwood,2080,85,wet,0.15727988447497,315378.91384,3066.4103439249097,NA,NA,2,16.176164821798352,0.009722940277106098
2,Arrowwood,2080,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2090,45,dry,0.157177477785311,166930.8856,1632.3127542602335,NA,NA,2,16.07398796253803,0.009778374735107937
2,Arrowwood,2090,45,wet,0.157177477785311,284610.9094,2783.0321258130543,NA,NA,2,16.07398796253803,0.009778374735107937
2,Arrowwood,2090,85,dry,0.15727988447497,142620.6946,1389.7102975108692,NA,NA,2,16.141037747655126,0.009744099910665204
2,Arrowwood,2090,85,wet,0.15727988447497,296520.40682000003,2889.324469605172,NA,NA,2,16.141037747655126,0.009744099910665204
2,Arrowwood,2090,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
2,Arrowwood,2100,45,dry,0.157177477785311,153350.0694,1501.0022416273612,NA,NA,2,16.05805538328986,0.009788076702542146
2,Arrowwood,2100,45,wet,0.157177477785311,286040.139,2799.7828205378173,NA,NA,2,16.05805538328986,0.009788076702542146
2,Arrowwood,2100,85,dry,0.15727988447497,140613.6384,1371.5375241109807,NA,NA,2,16.124747893786147,0.009753943783243865
2,Arrowwood,2100,85,wet,0.15727988447497,277661.8998,2708.2985613978913,NA,NA,2,16.124747893786147,0.009753943783243865
2,Arrowwood,2100,stationary,stationary,0.16036869137772,377952.1345,3502.929477169593,NA,NA,NA,17.303142871764564,0.009268182813158827
3,Arrowwood,2020,baseline,baseline,0.559495297428471,377952.1345,12221.042354731373,NA,NA,NA,17.303142871764564,0.032334894393171824
3,Arrowwood,2030,45,dry,0.552718075223125,325719.4731333333,10599.303318120372,NA,NA,3,16.98517674696304,0.03254120245301252
3,Arrowwood,2030,45,wet,0.552718075223125,344932.7533333333,11224.526558895028,NA,NA,3,16.98517674696304,0.03254120245301252
3,Arrowwood,2030,85,dry,0.552710197785459,302184.3961333333,9833.043521947118,NA,NA,3,16.98562576091,0.032539878457551026
3,Arrowwood,2030,85,wet,0.552710197785459,375952.90129999997,12233.461714065676,NA,NA,3,16.98562576091,0.032539878457551026
3,Arrowwood,2030,stationary,stationary,0.559495297428471,377952.1345,12221.042354731373,NA,NA,NA,17.303142871764564,0.032334894393171824
3,Arrowwood,2040,45,dry,0.541756456597551,273486.81176666665,8916.070779378533,NA,NA,3,16.617549337040817,0.03260146521063525
3,Arrowwood,2040,45,wet,0.541756456597551,311913.37216666667,10168.832951423508,NA,NA,3,16.617549337040817,0.03260146521063525
3,Arrowwood,2040,85,dry,0.541827353536545,226416.65776666667,7376.532454880555,NA,NA,3,16.630949463678473,0.032579460043449755
3,Arrowwood,2040,85,wet,0.541827353536545,373953.6681,12183.208587965422,NA,NA,3,16.630949463678473,0.032579460043449755
3,Arrowwood,2040,stationary,stationary,0.559495297428471,377952.1345,12221.042354731373,NA,NA,NA,17.303142871764564,0.032334894393171824
3,Arrowwood,2050,45,dry,0.540423200272574,221254.1504,7388.691371611338,NA,NA,3,16.182957173197124,0.03339458879416952
3,Arrowwood,2050,45,wet,0.540423200272574,278893.991,9313.550146609814,NA,NA,3,16.182957173197124,0.03339458879416952
3,Arrowwood,2050,85,dry,0.540537956486907,150648.9194,5024.411720437543,NA,NA,3,16.207162862112227,0.03335179396207168
3,Arrowwood,2050,85,wet,0.540537956486907,371954.4349,12405.347676063602,NA,NA,3,16.207162862112227,0.03335179396207168
3,Arrowwood,2050,stationary,stationary,0.559495297428471,377952.1345,12221.042354731373,NA,NA,NA,17.303142871764564,0.032334894393171824
3,Arrowwood,2060,45,dry,0.541098034099298,207673.3342,6942.0051341306225,NA,NA,3,16.18720106068307,0.03342752289730716
